classification,group,source,field,operator,value,notes
Material,1,supplier,Materiality Impact,equals,High,High impact CIF third-party supplier with difficult or impossible substitution
Material,1,supplier,CIF,equals,true,
Material,1,supplier,Third Party Supplier,equals,true,
Material,1,supplier,Materiality Substitutability,in,Difficult|Impossible,
Material,2,supplier,Materiality Impact,equals,High,High impact banking supplier difficult and Market Tier 1
Material,2,supplier,Materiality Substitutability,equals,Difficult,
Material,2,supplier,Banking Supplier,equals,true,
Material,2,supplier,BSP Market Tier,equals,1,
Material,3,supplier,Materiality Impact,equals,High,High impact banking supplier impossible and Market Tier 1 or 2
Material,3,supplier,Materiality Substitutability,equals,Impossible,
Material,3,supplier,Banking Supplier,equals,true,
Material,3,supplier,BSP Market Tier,in,1|2,
Material,4,request,mainAssessmentBanking-MainAssessmentSection1-question-7,contains,Liquidity credit facility,Request-based liquidity credit facility rule
Material,4,request,Which Wise Entity is the contracting party,equals,Wise Australia Pty Ltd,
Material,4,supplier,Banking Supplier,equals,true,
Material,5,request,mainAssessmentBanking-MainAssessmentSection1-question-7,contains_any,Safeguarding Asset Custodian|Safeguarding Credit Institution|Safeguarding Insurance Provider,Request-based safeguarding rule
Material,5,supplier,Banking Supplier,equals,true,
Non-Material,1,supplier,Materiality Impact,equals,Low,
Non-Material,1,supplier,Materiality Substitutability,equals,Easy,
Non-Material,1,supplier,CIF,equals,true,
Non-Material,1,supplier,Third Party Supplier,equals,true,
Non-Material,2,supplier,Materiality Impact,equals,Low,
Non-Material,2,supplier,Materiality Substitutability,equals,Difficult,
Non-Material,2,supplier,CIF,equals,true,
Non-Material,2,supplier,Third Party Supplier,equals,true,
Non-Material,3,supplier,Materiality Impact,equals,Low,
Non-Material,3,supplier,Materiality Substitutability,equals,Impossible,
Non-Material,3,supplier,CIF,equals,true,
Non-Material,3,supplier,Third Party Supplier,equals,true,
Non-Material,4,supplier,Materiality Impact,equals,High,
Non-Material,4,supplier,Materiality Substitutability,equals,Easy,
Non-Material,4,supplier,CIF,equals,true,
Non-Material,4,supplier,Third Party Supplier,equals,true,
Non-Material,5,supplier,Materiality Impact,equals,High,
Non-Material,5,supplier,Materiality Substitutability,equals,Instant,
Non-Material,5,supplier,CIF,equals,true,
Non-Material,5,supplier,Third Party Supplier,equals,true,
Non-Material,6,supplier,Materiality Impact,equals,High,
Non-Material,6,supplier,Materiality Substitutability,equals,Impossible,
Non-Material,6,supplier,SUPPORTIVE,equals,true,
Non-Material,6,supplier,Third Party Supplier,equals,true,
Non-Material,7,supplier,Materiality Impact,equals,High,
Non-Material,7,supplier,Materiality Substitutability,equals,Difficult,
Non-Material,7,supplier,SUPPORTIVE,equals,true,
Non-Material,7,supplier,Third Party Supplier,equals,true,
Non-Material,8,supplier,Materiality Impact,equals,High,
Non-Material,8,supplier,Materiality Substitutability,equals,Impossible,
Non-Material,8,supplier,Banking Supplier,equals,true,
Non-Material,9,supplier,Materiality Impact,equals,High,
Non-Material,9,supplier,Materiality Substitutability,equals,Difficult,
Non-Material,9,supplier,Banking Supplier,equals,true,
Non-Material,9,supplier,BSP Market Tier,in,2|3,
Non-Material,10,supplier,Materiality Impact,equals,High,
Non-Material,10,supplier,Materiality Substitutability,equals,Instant,
Non-Material,10,supplier,Banking Supplier,equals,true,
Non-Material,10,supplier,BSP Market Tier,in,1|2|3,
Non-Material,11,supplier,Materiality Impact,equals,Low,
Non-Material,11,supplier,Materiality Substitutability,equals,Easy,
Non-Material,11,supplier,Banking Supplier,equals,true,
Non-Material,11,supplier,BSP Market Tier,in,1|2|3,
Non-Material,12,supplier,Materiality Impact,equals,High,
Non-Material,12,supplier,Materiality Substitutability,equals,Easy,
Non-Material,12,supplier,Banking Supplier,equals,true,
Non-Material,12,supplier,BSP Market Tier,in,1|2|3,
Non-Material,13,supplier,Materiality Impact,equals,Low,
Non-Material,13,supplier,Materiality Substitutability,equals,Difficult,
Non-Material,13,supplier,Banking Supplier,equals,true,
Non-Material,13,supplier,BSP Market Tier,in,1|2|3,
Non-Material,14,supplier,Materiality Impact,equals,Low,
Non-Material,14,supplier,Materiality Substitutability,equals,Impossible,
Non-Material,14,supplier,Banking Supplier,equals,true,
Non-Material,14,supplier,BSP Market Tier,in,1|2|3,
Non-Material,15,supplier,Materiality Impact,equals,Low,
Non-Material,15,supplier,Materiality Substitutability,equals,Instant,
Non-Material,15,supplier,Banking Supplier,equals,true,
Non-Material,15,supplier,BSP Market Tier,in,1|2,
Non-Material,16,supplier,Materiality Impact,equals,High,
Non-Material,16,supplier,Materiality Substitutability,equals,Impossible,
Non-Material,16,supplier,Banking Supplier,equals,true,
Non-Material,16,supplier,BSP Market Tier,equals,3,
Non-Material,17,supplier,Materiality Impact,equals,High,
Non-Material,17,supplier,Materiality Substitutability,equals,Difficult,
Non-Material,17,supplier,Banking Supplier,equals,true,
Non-Material,17,supplier,BSP Market Tier,in,2|3,
Non-Material,18,supplier,Materiality Impact,equals,Low,
Non-Material,18,supplier,Materiality Substitutability,equals,Instant,
Non-Material,18,supplier,Third Party Supplier,equals,true,
Non-Material,18,supplier,CIF,equals,true,
Non-Material,18,supplier,Outsourcing,equals,true,
Non-Material,19,supplier,Materiality Impact,equals,Low,
Non-Material,19,supplier,Materiality Substitutability,equals,Instant,
Non-Material,19,supplier,Third Party Supplier,equals,true,
Non-Material,19,supplier,CIF,equals,true,
Non-Material,19,supplier,Customer PII processed,equals,true,
Non-Material,20,supplier,Materiality Impact,equals,Low,
Non-Material,20,supplier,Third Party Supplier,equals,true,
Non-Material,20,supplier,SUPPORTIVE,equals,true,
Non-Material,20,supplier,Outsourcing,equals,true,
Non-Material,21,supplier,Materiality Impact,equals,Low,
Non-Material,21,supplier,Third Party Supplier,equals,true,
Non-Material,21,supplier,SUPPORTIVE,equals,true,
Non-Material,21,supplier,Customer PII processed,equals,true,
