Workflow Name,Block,Next Blocks,Milestone,Milestone Reference
New Service or Third Party Onboarding,Initial Intake (Intake),Milestone: milestone 1,milestone 1,ms-new-service-or-third-party-onboarding-initial-in-f7i53p
New Service or Third Party Onboarding,Milestone: milestone 1,Conflict of Interest Confirmation (Task); Initial Procurement Review - Corporate Services (Task); Initial Procurement Review - General (Task); Initial Procurement Review - Tech (Task); Main Assessment (Banking) (Task); Main Assessment (Third Party) (Task); Sanctions Screening Checks (Task),,
New Service or Third Party Onboarding,Initial Procurement Review - Corporate Services (Task),Milestone: milestone 2,milestone 2,ms-new-service-or-third-party-onboarding-initial-pr-f7kkma
New Service or Third Party Onboarding,Initial Procurement Review - General (Task),Milestone: milestone 2,milestone 2,ms-new-service-or-third-party-onboarding-initial-pr-f7kkma
New Service or Third Party Onboarding,Initial Procurement Review - Tech (Task),Milestone: milestone 2,milestone 2,ms-new-service-or-third-party-onboarding-initial-pr-f7kkma
New Service or Third Party Onboarding,Main Assessment (Banking) (Task),Milestone: milestone 3,milestone 3,ms-new-service-or-third-party-onboarding-main-asses-f80r4y
New Service or Third Party Onboarding,Main Assessment (Third Party) (Task),Milestone: milestone 3,milestone 3,ms-new-service-or-third-party-onboarding-main-asses-f80r4y
New Service or Third Party Onboarding,Milestone: milestone 3,TPRM Review & Approval (Task),,
New Service or Third Party Onboarding,Milestone: milestone 2,Financial Onboarding Form (Supplier Portal); Supplier Onboarding Form (Supplier Portal),,
New Service or Third Party Onboarding,Financial Onboarding Form (Supplier Portal),AP Specialist <10k Review (Task); AP Specialist <15k Review (Task); AP Specialist <5k Review (Task); Offshore Approval (Task),,
