Workflow Name,Block Type,Block Name,Block Duration,Block Assignees,Block Logic Name,Block Logic Condition,Form Name,Form Section,Form Section Logic Name,Form Section Logic Condition,Question Type,Question ID,Question Title,Question Description,Question Logic Name,Question Logic Condition,Question Core Data
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,Product,product,Service provider,Please provide the legal name of the provider,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,website,productWebsite,Website,,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,Core data,newPurchaseRequestV02-Legal Security & Technology information-question-6,Service category,IMPORTANTChoosing the correct Service Category is critical for accurate risk assessment and ensuring your request is handled correctly. The selected category must accurately reflect the nature of the service being provided by the Third Party.DO Select Based On:WHAT service the third party is providing (e.g. Software Consulting Recruitment).The nature and type of work being performed (e.g. Marketing Software IT Consulting Legal Services).Example 1: PwC = Professional Services & Consulting  > ConsultantExample 2: Slack = Software & Tools > Communication & Collaboration SaaSDO NOT Select Based On:Which Wise department is procuring the service.Who at Wise will ultimately use the service.If you are unsure which category to choose please:Review the Service Categories Wiki page: https://transferwise.atlassian.net/wiki/x/-dcN4QConnect with the Third-Party Management Team on Slack: #thirdpartymanagement,,,91140b22-a9ac-4098-86a7-3c07c6250721
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,longText,productDescription,Service Description,Summarise the service you intend to purchase. This will assist us in understanding your requirements efficiently and expediting the review process.,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,Supplier portal assignees,supplierPortalAssignees,External Contact information,Please provide the Vendor point of contact for this engagement. This external contact will be in charge of completing any necessary vendor questionnaires for the onboarding process.[Please do not input Wise contacts here - these can be added later in the form as followers to the request.],,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,dropdown,buyerLegalEntity,Contracting Wise entity,Please specify the Wise entity that will be executing the agreement with the third party. This information is crucial to ensure proper legal and financial coherence down the line.,,,subsidiaries
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,Dropdown,newPurchaseRequestServicingEntity,Confirmation of other Wise entities consuming the service,"Please confirm if the Wise entity signing the contract will be the only entity consuming the services. If the service is not restricted to just one entity or is distributed to other entities select ""No"" and indicate below which entities further consume that service.",,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Vendor Information,,,Core data,f258a515-8f4a-4c08-a3ce-972b0c9130de,Additional Wise entities that will be using the service,"Select ""Global / Servicing all Wise entities"" if the service is not limited to specific entities.",,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestServicingEntity"",""questionType"":""dropdown""},""secondaryField"":{""type"":""VARIABLE"",""value"":""No""}}]}",9bff4e2e-d52f-4576-9a20-dc7e263c0be4
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Banking Question,,,Dropdown,BSP-Ownershiptype,Ownership type of the banking service provider,Please indicate the ownership type of the banking service provider,,,
New Service or Third Party Onboarding,Intake,Initial Intake,,,,,New Purchase Request (V0.3),Banking Question,,,Assignee autocomplete,BSP-Wisecontact,Contact for Banking Team,Please provide the contact details of the person from Wise's banking team.,,,
